Barrio,abigeato,amenazas,delitos-sexuales,homicidios,hurto-a-entidades-financieras,hurto-comercio,hurto-de-automotores,hurto-de-motocicletas,hurto-personas,lesiones-personales,pirateria-terrestre
13 DE NOVIIEMBRE C-8,0.0,0.0,12.0,0.0,0.0,4.0,0.0,4.0,12.0,26.0,0.0
AEROPUERTO EL DORADO,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGUAS FRIAS C-16,0.0,0.0,2.0,0.0,0.0,4.0,0.0,2.0,2.0,7.0,0.0
ALCONES  S.A.P.,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,0.0
ALDEA PABLO VI C-1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,5.0,5.0,0.0
ALEJANDRIA C-14,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,36.0,3.0,0.0
ALEJANDRIA C-7,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0
ALEJANDRO ECHAVARRIA  C-9,0.0,0.0,6.0,1.0,0.0,17.0,0.0,22.0,36.0,21.0,0.0
ALFONSO LOPEZ C-5,0.0,0.0,14.0,1.0,0.0,19.0,6.0,22.0,52.0,27.0,0.0
ALTAMIRA C-7,0.0,0.0,7.0,1.0,0.0,9.0,4.0,24.0,50.0,13.0,0.0
ALTAMIRA CNO REPORTADA7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALTAVISTA,0.0,0.0,1.0,17.0,0.0,0.0,0.0,1.0,1.0,17.0,0.0
ALTAVISTA C-16,0.0,0.0,10.0,10.0,0.0,12.0,1.0,9.0,35.0,50.0,0.0
ALTAVISTA CNO REPORTADA16,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALTO DE BOQUERON,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ALTO DE LAS FLORES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ALTOS DEL POBLADO C-14,0.0,0.0,2.0,0.0,0.0,10.0,0.0,2.0,26.0,8.0,0.0
ALTOS DEL POBLADO CNO REPORTADA14,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDALUCIA  C-2,0.0,0.0,10.0,1.0,0.0,8.0,1.0,12.0,19.0,20.0,0.0
ANDALUCIA  CNO REPORTADA2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANTONIO NARIÑO C-13,0.0,0.0,6.0,4.0,0.0,8.0,4.0,16.0,16.0,25.0,0.0
ARAGON  S.A.P.,0.0,0.0,0.0,3.0,0.0,0.0,1.0,3.0,1.0,5.0,0.0
ARANJUEZ  C-4,0.0,0.0,32.0,0.0,0.0,26.0,13.0,54.0,112.0,61.0,0.0
ASTORGA C-14,0.0,0.0,2.0,0.0,0.0,32.0,0.0,3.0,123.0,9.0,0.0
ASTORGA CNO REPORTADA14,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AURES 1 C-7,0.0,0.0,15.0,7.0,0.0,24.0,6.0,23.0,26.0,54.0,0.0
AURES 1 CNO REPORTADA7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AURES 2 C-7,0.0,0.0,13.0,8.0,0.0,4.0,2.0,21.0,21.0,23.0,0.0
AURES 2 CNO REPORTADA7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BALMORAL S.C.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BARCELONA S.C.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0
BARICHARA  S.A.P.,0.0,2.0,3.0,0.0,0.0,5.0,5.0,4.0,6.0,14.0,0.0
BARRIO CAYCEDO C-9,0.0,0.0,2.0,2.0,0.0,20.0,4.0,19.0,50.0,20.0,0.0
BARRIO COLOMBIA C-14,0.0,0.0,2.0,0.0,2.0,32.0,1.0,19.0,240.0,13.0,0.0
BARRIO COLON C-10,0.0,0.0,13.0,7.0,1.0,74.0,2.0,21.0,552.0,48.0,0.0
BARRIO CRISTOBAL C-12,0.0,0.0,3.0,3.0,0.0,5.0,1.0,9.0,33.0,4.0,0.0
BARRIO CRISTOBAL CNO REPORTADA12,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BARRIO NUEVO C-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BARRIO NUEVO S.C.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,0.0
BARRIOS DE JESUS  C-9,0.0,0.0,8.0,0.0,0.0,10.0,3.0,18.0,9.0,23.0,0.0
BATALLON GIRARDOT C-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,2.0,0.0
BELALCAZAR C-5,0.0,0.0,8.0,0.0,0.0,6.0,2.0,11.0,19.0,10.0,0.0
BELALCAZAR CNO REPORTADA5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BELEN C-16,0.0,0.0,15.0,0.0,0.0,120.0,29.0,70.0,513.0,36.0,0.0
BELEN CNO REPORTADA16,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BELENCITO C-13,0.0,0.0,5.0,5.0,0.0,8.0,2.0,7.0,11.0,19.0,0.0
BELENCITO CNO REPORTADA13,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BELLO HORIZONTE C-7,0.0,0.0,8.0,2.0,0.0,5.0,1.0,17.0,22.0,10.0,0.0
BERLIN  C-4,0.0,0.0,6.0,1.0,0.0,28.0,1.0,13.0,39.0,27.0,0.0
BERMEJAL - LOS ALAMOS  C-4,0.0,0.0,6.0,3.0,0.0,2.0,0.0,2.0,9.0,15.0,0.0
BETANIA C-13,0.0,0.0,3.0,8.0,0.0,0.0,0.0,1.0,3.0,15.0,0.0
BLANQUIZAL C-13,0.0,0.0,15.0,4.0,0.0,4.0,5.0,9.0,13.0,24.0,0.0
BOLIVARIANA C-11,0.0,0.0,4.0,0.0,1.0,29.0,10.0,4.0,213.0,22.0,0.0
BOLIVARIANA CNO REPORTADA11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOMBONA 1 C-10,0.0,0.0,6.0,2.0,0.0,15.0,2.0,35.0,131.0,20.0,0.0
BOMBONA 2  C-9,0.0,0.0,5.0,0.0,0.0,10.0,2.0,16.0,20.0,15.0,0.0
BOSQUES DE CASTILLA E-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BOSQUES DE SAN PABLO C-7,0.0,0.0,0.0,0.0,0.0,5.0,0.0,20.0,31.0,4.0,0.0
BOSQUES DE ZUÑIGA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
BOSTON C-10,0.0,0.0,16.0,4.0,0.0,62.0,10.0,78.0,381.0,77.0,0.0
BOSTON CNO REPORTADA10,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOYACA C-5,0.0,0.0,1.0,0.0,0.0,6.0,2.0,29.0,41.0,9.0,0.0
BOYACA CNO REPORTADA5,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRASILIA  C-4,0.0,0.0,6.0,1.0,0.0,8.0,4.0,11.0,27.0,22.0,0.0
BUENOS AIRES  C-9,0.0,0.0,16.0,0.0,0.0,25.0,12.0,93.0,143.0,30.0,0.0
CALASANZ C-12,0.0,0.0,9.0,0.0,1.0,19.0,9.0,43.0,170.0,19.0,0.0
CALASANZ PARTE ALTA C-12,0.0,0.0,7.0,1.0,0.0,8.0,1.0,6.0,16.0,5.0,0.0
CALLE NUEVA C-10,0.0,0.0,9.0,2.0,2.0,29.0,3.0,13.0,152.0,20.0,0.0
CALLE NUEVA CNO REPORTADA10,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAMPO ALEGRE C-12,0.0,0.0,4.0,5.0,0.0,4.0,3.0,4.0,33.0,11.0,0.0
CAMPO AMOR C-15,0.0,0.0,6.0,0.0,1.0,27.0,25.0,20.0,168.0,21.0,0.0
CAMPO VALDES 1  C-4,0.0,0.0,19.0,7.0,0.0,16.0,8.0,43.0,72.0,39.0,0.0
CAMPO VALDES 2 C-3,0.0,0.0,11.0,2.0,0.0,7.0,0.0,12.0,37.0,34.0,0.0
CARACOLI S.C.,0.0,0.0,0.0,1.0,0.0,2.0,1.0,4.0,3.0,2.0,0.0
CARIBE C-5,0.0,0.0,7.0,4.0,0.0,78.0,15.0,46.0,382.0,60.0,0.0
CARIBE CNO REPORTADA5,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CARLOS E. RESTREPO C-11,0.0,0.0,7.0,3.0,0.0,25.0,10.0,20.0,203.0,25.0,0.0
CARPINELO C-1,0.0,0.0,11.0,0.0,0.0,4.0,0.0,4.0,8.0,34.0,0.0
CASTILLA C-5,0.0,0.0,31.0,5.0,0.0,58.0,11.0,68.0,193.0,79.0,0.0
CASTILLA CNO REPORTADA5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASTROPOL C-14,0.0,0.0,1.0,2.0,0.0,22.0,0.0,2.0,71.0,4.0,0.0
CATALUÑA  C-9,0.0,0.0,4.0,0.0,0.0,3.0,4.0,18.0,20.0,13.0,0.0
CATALUÑA  CNO REPORTADA9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CENTRO  S.A.P.,0.0,1.0,2.0,0.0,0.0,12.0,2.0,4.0,17.0,26.0,0.0
CENTRO ADMINISTRATIVO C-10,0.0,0.0,6.0,0.0,0.0,17.0,0.0,2.0,73.0,8.0,0.0
CENTRO S.C.,0.0,0.0,11.0,1.0,0.0,12.0,2.0,13.0,35.0,30.0,0.0
CERRO EL VOLADOR C-7,0.0,0.0,2.0,5.0,0.0,14.0,5.0,10.0,79.0,17.0,0.0
CERRO NUTIBARA C-16,0.0,0.0,1.0,4.0,0.0,9.0,2.0,19.0,44.0,7.0,0.0
CHAGUALO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CIUDADELA NUEVO OCCIDENTE,0.0,0.0,1.0,1.0,0.0,1.0,1.0,10.0,6.0,7.0,0.0
COLMENAS,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0
CONQUISTADORES C-11,0.0,0.0,1.0,9.0,0.0,51.0,19.0,42.0,264.0,17.0,0.0
CORAZON DE JESUS C-10,0.0,0.0,14.0,6.0,0.0,20.0,9.0,21.0,88.0,16.0,0.0
CORDOBA C-7,0.0,0.0,7.0,6.0,0.0,7.0,7.0,37.0,37.0,23.0,0.0
CRISTO REY C-15,0.0,0.0,3.0,3.0,1.0,42.0,23.0,44.0,185.0,28.0,0.0
CUARTA BRIGADA C-11,0.0,0.0,2.0,0.0,0.0,16.0,7.0,8.0,68.0,13.0,0.0
CUARTA BRIGADA CNO REPORTADA11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CUCARACHO C-7,0.0,0.0,4.0,0.0,0.0,3.0,0.0,10.0,6.0,7.0,0.0
DIEGO ECHAVARRIA C-16,0.0,0.0,0.0,0.0,0.0,10.0,3.0,6.0,47.0,2.0,0.0
DOCE DE OCTUBRE 2 C-6,0.0,0.0,5.0,1.0,0.0,7.0,1.0,13.0,19.0,28.0,0.0
DOCE DE OCTUBRE C-6,0.0,0.0,30.0,2.0,0.0,15.0,5.0,46.0,37.0,50.0,0.0
EDUARDO SANTOS C-13,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,4.0,5.0,0.0
EL CASTILLO C-14,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,15.0,3.0,0.0
EL CHAGUALO C-10,0.0,0.0,4.0,0.0,0.0,35.0,5.0,56.0,204.0,35.0,0.0
EL COCO C-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
EL COMPROMISO C-1,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,0.0
EL CORAZON C-13,0.0,0.0,5.0,4.0,0.0,1.0,1.0,3.0,8.0,11.0,0.0
EL CUCARACHO C-7,0.0,0.0,16.0,1.0,0.0,13.0,3.0,42.0,39.0,37.0,0.0
EL CUCARACHO CNO REPORTADA7,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EL CUCARACHO S.C.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
EL DANUBIO C-12,0.0,0.0,3.0,5.0,0.0,5.0,6.0,19.0,31.0,6.0,0.0
EL DIAMANTE 2 C-14,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,24.0,2.0,0.0
EL DIAMANTE C-7,0.0,0.0,15.0,3.0,0.0,15.0,4.0,30.0,40.0,25.0,0.0
EL GUAYABO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
EL NOGAL. LOS ALMENDROS C-16,0.0,0.0,2.0,1.0,0.0,9.0,3.0,13.0,65.0,6.0,0.0
EL NOGAL. LOS ALMENDROS CNO REPORTADA16,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EL PESEBRE C-13,0.0,0.0,11.0,3.0,0.0,7.0,2.0,6.0,15.0,21.0,0.0
EL PINAL C-8,0.0,0.0,15.0,1.0,0.0,9.0,2.0,18.0,20.0,34.0,0.0
EL PINAL CNO REPORTADA8,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EL PLAYON DE LOS COMUNEROS  C-2,0.0,0.0,10.0,0.0,0.0,4.0,3.0,2.0,15.0,24.0,0.0
EL POBLADO C-14,0.0,0.0,13.0,1.0,0.0,110.0,6.0,25.0,781.0,42.0,0.0
EL POMAR  C-3,0.0,0.0,2.0,0.0,0.0,8.0,1.0,11.0,25.0,10.0,0.0
EL PORTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
EL PORVENIR S.C.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
EL RAIZAL  C-3,0.0,0.0,7.0,0.0,0.0,4.0,0.0,8.0,11.0,22.0,0.0
EL RINCON C-16,0.0,0.0,7.0,6.0,0.0,16.0,3.0,9.0,52.0,40.0,0.0
EL RINCON CNO REPORTADA16,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EL RODEO C-15,0.0,0.0,2.0,1.0,0.0,5.0,1.0,7.0,34.0,6.0,0.0
EL SALADO C-13,0.0,0.0,1.0,1.0,0.0,4.0,1.0,4.0,9.0,28.0,0.0
EL SALADO CNO REPORTADA13,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EL SALVADOR  C-9,0.0,0.0,14.0,1.0,0.0,10.0,6.0,36.0,59.0,29.0,0.0
EL SOCORRO C-13,0.0,0.0,9.0,9.0,0.0,1.0,3.0,4.0,13.0,25.0,0.0
EL TESORO C-14,0.0,0.0,3.0,0.0,0.0,12.0,2.0,0.0,35.0,5.0,0.0
EL TRAPICHE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
EL TRIUNFO C-6,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,9.0,0.0
EL VELODROMO C-11,0.0,0.0,2.0,1.0,0.0,22.0,7.0,20.0,92.0,8.0,0.0
ENCISO C-8,0.0,0.0,25.0,1.0,0.0,10.0,5.0,28.0,47.0,40.0,0.0
ENCISO CNO REPORTADA8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESCOBAR  S.A.P.,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,10.0,0.0
ESTACION VILLA C-10,0.0,0.0,6.0,23.0,0.0,35.0,0.0,26.0,236.0,120.0,0.0
ESTACION VILLA CNO REPORTADA10,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESTADIO C-11,0.0,0.0,4.0,2.0,0.0,40.0,10.0,25.0,423.0,33.0,0.0
ESTADIO CNO REPORTADA11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EVERFIT C-5,0.0,0.0,1.0,0.0,0.0,13.0,3.0,10.0,40.0,8.0,0.0
FACULTAD DE MINAS U. NACIONAL C-7,0.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,12.0,4.0,0.0
FATIMA C-16,0.0,0.0,11.0,5.0,0.0,13.0,20.0,17.0,84.0,10.0,0.0
FERRINI C-12,0.0,0.0,5.0,2.0,0.0,11.0,5.0,11.0,32.0,13.0,0.0
FLORENCIA C-5,0.0,0.0,8.0,0.0,0.0,9.0,4.0,27.0,31.0,24.0,0.0
FLORIDA NUEVA C-11,0.0,0.0,3.0,4.0,0.0,40.0,6.0,9.0,149.0,16.0,0.0
FRANCISCO ANTONIO ZEA C-5,0.0,0.0,4.0,1.0,0.0,10.0,2.0,8.0,37.0,21.0,0.0
FUENTE CLARA C-7,0.0,0.0,7.0,3.0,0.0,5.0,0.0,7.0,8.0,6.0,0.0
GERONA  C-9,0.0,0.0,4.0,0.0,0.0,5.0,1.0,10.0,22.0,16.0,0.0
GIRARDOT C-5,0.0,0.0,15.0,4.0,0.0,21.0,7.0,14.0,48.0,17.0,0.0
GIRARDOT CNO REPORTADA5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GOLONDRINAS C-8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
GRANADA C-16,0.0,0.0,2.0,1.0,0.0,5.0,8.0,11.0,32.0,7.0,0.0
GRANIZAL C-1,0.0,0.0,14.0,0.0,0.0,4.0,1.0,6.0,20.0,38.0,0.0
GRANIZAL CNO REPORTADA1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GUAYABAL C-15,0.0,0.0,7.0,1.0,0.0,55.0,9.0,43.0,167.0,19.0,0.0
GUAYABAL CNO REPORTADA15,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GUAYAQUIL C-10,0.0,0.0,23.0,3.0,0.0,90.0,1.0,12.0,485.0,39.0,0.0
HECTOR ABAD GOMEZ C-5,0.0,0.0,6.0,2.0,0.0,5.0,4.0,27.0,34.0,22.0,0.0
HORIZONTES  S.A.P.,0.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,1.0,1.0,0.0
HOSPITAL SAN VICENTE DE PAUL C-10,0.0,0.0,0.0,1.0,0.0,14.0,0.0,3.0,27.0,6.0,0.0
JARDIN BOTANICO  C-4,0.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,46.0,1.0,0.0
JESUS NAZARENO C-10,0.0,0.0,6.0,7.0,0.0,51.0,4.0,30.0,135.0,34.0,0.0
JORGE ELIECER GAITAN C-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
JUAN PABLO II  C-9,0.0,0.0,3.0,0.0,0.0,2.0,1.0,3.0,7.0,7.0,0.0
JUAN XXIII - LA QUIEBRA C-13,0.0,0.0,10.0,8.0,0.0,4.0,2.0,20.0,12.0,26.0,0.0
